from_oc_key|to_oc_key|skill_match_pct
00030d09-2b3a-4efd-87cc-c4ea39d27c34|1aa4bb15-c527-4a3b-9270-b3c71c4be111|0.67
00030d09-2b3a-4efd-87cc-c4ea39d27c34|7d27600b-5cff-4ebc-b259-cc2d47572035|0.56
00030d09-2b3a-4efd-87cc-c4ea39d27c34|cb93fd23-1f51-4495-867a-936c1967066b|0.44
000e93a3-d956-4e45-aacb-f12c83fedf84|a0f9903e-2ba5-4b9d-bb0a-a8646db15221|0.36
000e93a3-d956-4e45-aacb-f12c83fedf84|c2d5daae-8f8a-45b1-8e76-3284b84ce195|0.33
000e93a3-d956-4e45-aacb-f12c83fedf84|ecac98ea-9fc3-4475-9b23-8af94f41603d|0.36
0019b951-c699-4191-8208-9822882d150c|2555a1bc-9f30-4371-9499-64793e48cd55|0.23
0019b951-c699-4191-8208-9822882d150c|becbe3ca-e000-40c0-9f67-5c4035b930ea|0.19
0019b951-c699-4191-8208-9822882d150c|dec7ed73-8688-4328-bc50-c72d31b25956|0.21
0022f466-426c-41a4-ac96-a235c945cf97|91373a70-79b6-47a2-aa50-07dfe20dd258|0.20
0022f466-426c-41a4-ac96-a235c945cf97|d48d4949-73a2-40d7-8350-329cda6b5a9a|0.17
0022f466-426c-41a4-ac96-a235c945cf97|d9ab0f3d-078d-42a7-a502-3e739e0aeff6|0.17
002da35b-7808-43f3-83bf-63596b8b351f|53cdd34e-22f2-41bd-b3c7-de22bf9bbcae|0.31
002da35b-7808-43f3-83bf-63596b8b351f|9c9752b7-3e3b-4a08-8553-b63a013f8072|0.27
002da35b-7808-43f3-83bf-63596b8b351f|bcc2c1db-f969-4355-bebf-4878ff6c2a94|0.27
0044c991-c26f-4261-a213-4bd1c0564a4c|10291962-c0c7-4e5b-a7ed-0762b4d9b010|0.17
0044c991-c26f-4261-a213-4bd1c0564a4c|4fef1907-cf82-413b-841a-02ef57e299a6|0.50
0044c991-c26f-4261-a213-4bd1c0564a4c|87775d69-ae88-449e-ad71-6f9875711816|0.17
00634fc4-802a-461b-8af0-499273756f99|47300afa-5496-484c-8f65-14247a98b2b8|0.22
00634fc4-802a-461b-8af0-499273756f99|7c205166-d862-45fc-90e5-58a3aa3721dd|0.22
00634fc4-802a-461b-8af0-499273756f99|f272a521-1a38-4d34-a78e-3adeca95b977|0.22
00674f21-2f8f-4a41-9896-133f7cbe2a6e|03d79393-7b30-4159-945b-01963eddd302|0.41
