esco_oc_key|preflabel_en|ox_max_prob|ox_avg_prob|ox_label|isco_oc_key_l4|isco_preflabel_l4|isco_oc_key_l3|isco_preflabel_l3|isco_oc_key_l2|isco_preflabel_l2|isco_oc_key_l1|isco_preflabel_l1|oc_key_jv|all_jv|at_jv|be_jv|bg_jv|ch_jv|cy_jv|cz_jv|de_jv|dk_jv|ee_jv|el_jv|es_jv|fi_jv|fr_jv|hr_jv|hu_jv|ie_jv|is_jv|it_jv|li_jv|lt_jv|lu_jv|lv_jv|mt_jv|nl_jv|no_jv|pl_jv|pt_jv|ro_jv|se_jv|si_jv|sk_jv|uk_jv|oc_key_cvdes|all_cvdes|at_cvdes|be_cvdes|bg_cvdes|ch_cvdes|cy_cvdes|cz_cvdes|de_cvdes|dk_cvdes|ee_cvdes|el_cvdes|es_cvdes|fi_cvdes|fr_cvdes|hr_cvdes|hu_cvdes|ie_cvdes|is_cvdes|it_cvdes|li_cvdes|lt_cvdes|lu_cvdes|lv_cvdes|mt_cvdes|nl_cvdes|no_cvdes|pl_cvdes|pt_cvdes|ro_cvdes|se_cvdes|si_cvdes|sk_cvdes|uk_cvdes|oc_key_cvlast|all_cvlast|at_cvlast|be_cvlast|bg_cvlast|ch_cvlast|cy_cvlast|cz_cvlast|de_cvlast|dk_cvlast|ee_cvlast|el_cvlast|es_cvlast|fi_cvlast|fr_cvlast|hr_cvlast|hu_cvlast|ie_cvlast|is_cvlast|it_cvlast|li_cvlast|lt_cvlast|lu_cvlast|lv_cvlast|mt_cvlast|nl_cvlast|no_cvlast|pl_cvlast|pt_cvlast|ro_cvlast|se_cvlast|si_cvlast|sk_cvlast|uk_cvlast
00030d09-2b3a-4efd-87cc-c4ea39d27c34|technical director|0.31|0.12||C2654|Film, stage and related directors and producers|C265|Creative and performing artists|C26|Legal, social and cultural professionals|C2|Professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
000e93a3-d956-4e45-aacb-f12c83fedf84|metal drawing machine operator|0.91|0.88||C8121|Metal processing plant operators|C812|Metal processing and finishing plant operators|C81|Stationary plant and machine operators|C8|Plant and machine operators and assemblers|000e93a3-d956-4e45-aacb-f12c83fedf84|12431|2354|118|7|82|3|1460|1594|||||172|2798||220|37|||||4|7||325|118|2138|30|249|371|189|148|7|000e93a3-d956-4e45-aacb-f12c83fedf84|134|1|3|3||1|2|4||2|3|15|4|1|12|3||1|28||||3||2|1|14||17|3|6||5|000e93a3-d956-4e45-aacb-f12c83fedf84|85|2|1|1|||1|3|1|2||13|5||3||||15||2||2||1||10|3|15||3||2
0019b951-c699-4191-8208-9822882d150c|precision device inspector|0.98|0.98||C7543|Product graders and testers (excluding foods and beverages)|C754|Other craft and related workers|C75|Food processing, wood working, garment and other craft and related trades workers|C7|Craft and related trades workers||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0022f466-426c-41a4-ac96-a235c945cf97|air traffic safety technician|0.84|0.78||C3155|Air traffic safety electronics technicians|C315|Ship and aircraft controllers and technicians|C31|Science and engineering associate professionals|C3|Technicians and associate professionals|0022f466-426c-41a4-ac96-a235c945cf97|240||7|7|||5|9|2|1|||||||||1||1||2|3||3|2|5|56|136||||0022f466-426c-41a4-ac96-a235c945cf97|156||3|1||1||2||||59|3|5|6|2|||48||1|||1|1||4|9|4||||6|0022f466-426c-41a4-ac96-a235c945cf97|52|||1||||3||||24||2|1||||10||||||4|||6|1||||
002da35b-7808-43f3-83bf-63596b8b351f|hospitality revenue manager|0.61|0.32|1|C2431|Advertising and marketing professionals|C243|Sales, marketing and public relations professionals|C24|Business and administration professionals|C2|Professionals|002da35b-7808-43f3-83bf-63596b8b351f|203055|6160|491|19|240||946|20896|159|1|1|42|8696|13||242|63||10|2|1|8|134|88|5058|982|4884|428|530|5405|259|2|147295|002da35b-7808-43f3-83bf-63596b8b351f|5242|66|206|84|43|21|65|313|54|19|120|766|112|524|184|141|47|4|1425|1|41|23|25|7|132|38|114|166|148|91|65|18|179|002da35b-7808-43f3-83bf-63596b8b351f|2562|30|104|48|23|4|24|166|30|8|76|386|40|326|67|62|13|3|615||22|11|9|3|67|13|53|82|99|53|29|10|86
0044c991-c26f-4261-a213-4bd1c0564a4c|medical laboratory assistant|0.9|0.69||C3212|Medical and pathology laboratory technicians|C321|Medical and pharmaceutical technicians|C32|Health associate professionals|C3|Technicians and associate professionals|0044c991-c26f-4261-a213-4bd1c0564a4c|12610|237|255|3|109||214|4269|2||||824|3477||15|1|||||17|19|4|27|1061|45|44|6|1890|91|||0044c991-c26f-4261-a213-4bd1c0564a4c|807|4|20|7|5|3|5|22|1|2|37|263|6|15|25|4|6||224||4||1|1|11|2|21|67|5|10|11|2|23|0044c991-c26f-4261-a213-4bd1c0564a4c|289|2|7|7|4|4||7|1|3|18|78|3|6|20||1||75||3|||1|4||10|16|5|1|5|1|7
00634fc4-802a-461b-8af0-499273756f99|asphalt laboratory technician|0.24|0.24||C3116|Chemical engineering technicians|C311|Physical and engineering science technicians|C31|Science and engineering associate professionals|C3|Technicians and associate professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
00674f21-2f8f-4a41-9896-133f7cbe2a6e|primary school teaching assistant|0.56|0.56||C5312|Teachers’ aides|C531|Child care workers and teachers’ aides|C53|Personal care workers|C5|Service and sales workers|00674f21-2f8f-4a41-9896-133f7cbe2a6e|19794|18|72|224|||904|575|3||||1584|3457||56|1|||||1|226|91|66|1325|1502|24|130|9255|280|||00674f21-2f8f-4a41-9896-133f7cbe2a6e|460|4|16|7|4|1|8|10||5|18|128|9|27|13|14|1||68||5||1||4|5|40|33|4|1|11|5|18|00674f21-2f8f-4a41-9896-133f7cbe2a6e|240||5|1|4|1|2|4|4|1|8|66|5|21|7|6|2||48|||1|1|2|2|3|6|17|1|8|3|1|10
006cc1f9-2841-41c3-991a-dc3f2f3bd533|physiotherapist|0.021|0.02||C2264|Physiotherapists|C226|Other health professionals|C22|Health professionals|C2|Professionals|006cc1f9-2841-41c3-991a-dc3f2f3bd533|52307|1420|2323|59|327|30|251|32258||||25|1295|4664||82|6||1|1||3|163|3|120|1322|1847|113|401|4817|547||229|006cc1f9-2841-41c3-991a-dc3f2f3bd533|490|5|5|15|3|1|4|16|4|2|22|73|6|2|105|4|1|1|105||4||||4|2|36|23|29|1|2|3|12|006cc1f9-2841-41c3-991a-dc3f2f3bd533|464|3|3|11|2|1|5|15|1|1|23|81|4|1|103|6|1|1|95||4|1||1|5|2|30|24|24|2|3|4|7
00747307-6341-4266-a061-25416f7c6a96|performing arts theatre instructor||||C2310|University and higher education teachers|C231|University and higher education teachers|C23|Teaching professionals|C2|Professionals||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
