source	target
0	325
0	1504
0	2416
1	1907
1	2310
1	2746
2	458
2	2268
2	2609
3	1731
3	2507
3	2561
4	1005
4	1875
4	2237
5	202
5	960
5	1626
6	841
6	1493
6	2792
7	55
7	377
7	1809
8	875
8	1940
8	2259
9	1138
9	1464
9	2841
10	229
10	1194
10	1347
11	326
11	473
11	2941
12	521
12	728
12	2050
13	533
13	691
13	938
14	1150
14	1238
14	2538
15	900
15	1263
15	2135
16	863
16	1049
16	1676
17	56
17	702
17	2692
18	802
18	1226
18	2187
19	188
19	1125
19	1885
20	201
20	1717
20	2097
21	86
21	1400
21	1610
22	537
22	1008
22	2401
23	63
23	305
23	401
24	1049
24	2114
24	2538
25	597
25	1934
25	2706
26	96
26	535
26	2470
27	500
27	565
27	2912
28	1049
28	2538
28	2876
29	893
29	1706
29	1872
30	646
30	1754
30	2129
31	77
31	300
31	786
32	12
32	53
32	1817
33	792
33	2237
33	2820
34	187
34	257
34	2144
35	797
35	1741
35	1804
36	411
36	1481
36	1497
37	290
37	535
37	2253
38	899
38	2438
38	2746
39	1072
39	1540
39	2709
40	362
40	1195
40	2230
41	1005
41	1283
41	2891
42	785
42	1303
42	2574
43	1560
43	2348
43	2543
44	725
44	1284
44	1798
45	1659
45	1976
45	2766
46	99
46	753
46	2227
47	1198
47	1623
47	2759
48	205
48	1809
48	2865
49	1160
49	2439
49	2577
50	161
50	1203
50	1563
51	1506
51	1642
51	2324
52	209
52	2538
52	2913
53	848
53	1891
53	2864
54	787
54	1014
54	1908
55	725
55	1426
55	1684
56	17
56	702
56	2692
57	275
57	679
57	2655
58	26
58	1627
58	2470
59	1098
59	1294
59	2377
60	1500
60	2573
60	2626
61	256
61	632
61	1820
62	1430
62	1441
62	1690
63	401
63	1242
63	1625
64	1702
64	2402
64	2612
65	1006
65	1049
65	1889
66	109
66	1160
66	2237
67	534
67	1978
67	2935
68	597
68	819
68	2755
69	254
69	825
69	1203
70	569
70	2348
70	2543
71	1014
71	2084
71	2375
72	1138
72	1565
72	1729
73	1660
73	2668
73	2890
74	65
74	1006
74	1049
75	1613
75	2003
75	2524
76	506
76	1493
76	2106
77	63
77	507
77	2808
78	638
78	1521
78	1601
79	224
79	812
79	2945
80	112
80	170
80	972
81	1014
81	1802
81	2630
82	209
82	430
82	2613
83	487
83	960
83	2240
84	861
84	1077
84	1609
85	31
85	950
85	2663
86	274
86	1254
86	1609
87	307
87	1146
87	1896
88	38
88	1399
88	2438
89	795
89	2498
89	2662
90	597
90	724
90	2283
91	1624
91	1906
91	2399
92	101
92	297
92	2478
93	1234
93	1356
93	1762
94	227
94	775
94	2766
95	1764
95	1913
95	2835
96	535
96	681
96	2470
97	188
97	1118
97	2299
98	321
98	597
98	617
99	63
99	1164
99	1625
100	597
100	904
100	1163
101	92
101	297
101	2478
102	258
102	1083
102	2872
103	643
103	778
103	2837
104	91
104	1129
104	2471
105	1534
105	2005
105	2724
106	43
106	2252
106	2543
107	122
107	351
107	1591
108	670
108	785
108	1791
109	625
109	1433
109	2237
110	123
110	2783
110	2813
111	921
111	1513
111	2734
112	80
112	972
112	1631
113	1049
113	1427
113	2538
114	597
114	1012
114	1770
115	242
115	1339
115	1983
116	381
116	833
116	1333
117	746
117	1932
117	2404
118	581
118	1138
118	1549
119	262
119	1605
119	1676
120	934
120	1030
120	2520
121	570
121	1089
121	1407
122	1350
122	1591
122	2703
123	720
123	761
123	1191
124	215
124	2606
124	2940
125	892
125	2237
125	2719
126	277
126	336
126	2874
127	629
127	2337
127	2789
128	652
128	713
128	763
129	1479
129	1815
129	2718
130	1578
130	2248
130	2461
131	30
131	1310
131	2129
132	207
132	626
132	1381
133	1700
133	1755
133	2228
134	898
134	1224
134	2361
135	141
135	492
135	2822
136	1006
136	1562
136	1731
137	720
137	761
137	1442
138	375
138	1599
138	2906
139	703
139	1572
139	1868
140	469
140	2222
140	2360
141	492
141	1109
141	2699
142	875
142	1701
142	1939
143	642
143	1147
143	2115
144	475
144	1003
144	2083
145	830
145	893
145	1284
146	1049
146	1064
146	2114
147	344
147	1024
147	1806
148	893
148	1747
148	2544
149	624
149	1432
149	1537
150	1346
150	2381
150	2796
151	123
151	761
151	2119
152	712
152	1524
152	2157
153	62
153	1430
153	1441
154	1006
154	1049
154	1619
155	333
155	1891
155	2797
156	228
156	2187
156	2916
157	193
157	1242
157	2892
158	465
158	685
158	2884
159	314
159	394
159	1942
160	62
160	1430
160	1441
161	1203
161	1563
161	1882
162	893
162	1274
162	1388
163	3
163	827
163	1849
164	486
164	1138
164	2938
165	876
165	2277
165	2419
166	609
166	2544
166	2624
167	351
167	752
167	902
168	1044
168	1626
168	2742
169	54
169	1014
169	1572
170	544
170	972
170	1467
171	747
171	2637
171	2857
172	1260
172	2876
172	2942
173	863
173	1676
173	2138
174	122
174	1591
174	2703
175	76
175	506
175	1493
176	1339
176	1984
176	2554
177	1454
177	1922
177	2835
178	292
178	710
178	1519
179	247
179	2452
179	2839
180	1976
180	2059
180	2671
181	1049
181	2114
181	2538
182	483
182	1197
182	2595
183	805
183	2085
183	2106
184	262
184	890
184	1097
185	597
185	913
185	2196
186	684
186	691
186	2932
187	257
187	2110
187	2723
188	1115
188	1300
188	1392
189	1631
189	1859
189	2048
190	622
190	1231
190	2751
191	65
191	1006
191	1049
192	597
192	2193
192	2448
193	1062
193	1951
193	2023
194	1422
194	1996
194	2211
195	299
195	1254
195	1609
196	202
196	2571
196	2742
197	1164
197	2752
197	2765
198	367
198	1387
198	2409
200	1347
200	2626
200	2753
201	1717
201	2205
201	2220
202	772
202	1313
202	2742
203	160
203	1441
203	2006
204	636
204	1174
204	1658
205	55
205	725
205	2167
206	43
206	2460
206	2931
207	626
207	994
207	1381
208	914
208	1077
208	1643
209	1150
209	2101
209	2613
210	517
210	1014
210	1314
211	893
211	939
211	2305
212	1203
212	2293
212	2358
213	248
213	1014
213	1358
214	44
214	1185
214	1809
215	2606
215	2922
215	2940
216	151
216	761
216	2119
217	1806
217	2062
217	2721
218	294
218	675
218	766
219	1001
219	1006
219	2236
220	1550
220	2425
220	2658
221	460
221	772
221	2942
222	168
222	772
222	1313
223	1982
223	2538
223	2701
224	79
224	812
224	957
225	326
225	2318
225	2616
226	323
226	419
226	1312
227	94
227	775
227	2766
228	282
228	2187
228	2916
229	10
229	585
229	1194
230	1479
230	1829
230	2191
231	1057
231	1707
231	2581
232	1282
232	1879
232	2025
233	562
233	1014
233	1035
234	273
234	1365
234	2114
235	1704
235	2190
235	2400
236	1676
236	2178
236	2821
237	1086
237	1937
237	2390
238	1478
238	1837
238	1888
239	1012
239	1212
239	2408
240	327
240	1533
240	2915
241	190
241	1295
241	1422
242	1339
242	1984
242	2569
243	1306
243	1706
243	2516
244	895
244	1058
244	1845
245	516
245	1198
245	2602
246	1321
246	1830
246	2469
247	179
247	2452
247	2839
248	891
248	1014
248	1437
249	1008
249	2306
249	2401
250	2270
250	2396
250	2824
251	458
251	709
251	1218
252	1659
252	1976
252	2562
253	1433
253	1630
253	2237
254	597
254	1895
254	2340
255	667
255	964
255	2638
256	1124
256	1181
256	1820
257	187
257	2110
257	2723
258	102
258	1083
258	2872
259	495
259	1609
259	1610
260	447
260	1278
260	1933
261	644
261	1557
261	1708
262	890
262	1097
262	2289
263	405
263	1380
263	1742
264	141
264	604
264	1844
265	517
265	804
265	1993
266	1502
266	2224
266	2906
267	597
267	1489
267	2485
268	635
268	1566
268	1670
269	1243
269	1989
269	2237
270	1367
270	2237
270	2274
271	370
271	710
271	1122
272	258
272	399
272	1976
273	2114
273	2319
273	2800
274	86
274	1254
274	1610
275	57
275	546
275	679
276	1006
276	1049
276	2217
277	1083
277	1782
277	2874
278	8
278	1432
278	2309
279	1347
279	1561
279	2165
280	772
280	1992
280	2764
281	713
281	1229
281	1833
282	1800
282	2187
282	2221
283	337
283	1100
283	2389
284	209
284	2538
284	2613
285	664
285	2573
285	2749
286	1307
286	1479
286	2718
287	449
287	2414
287	2609
288	751
288	928
288	1565
289	597
289	625
289	2237
290	96
290	535
290	2470
291	255
291	1600
291	1907
292	362
292	1195
292	2230
293	2117
293	2538
293	2782
294	218
294	675
294	2525
295	893
295	1388
295	1985
296	2099
296	2257
296	2655
297	92
297	101
297	2363
298	271
298	1111
298	1122
299	1254
299	1609
299	1610
300	63
300	401
300	1625
301	597
301	689
301	1222
302	442
302	480
302	558
303	660
303	875
303	1701
304	260
304	563
304	2141
305	23
305	1278
305	1570
306	388
306	1928
306	2849
307	87
307	1896
307	2164
308	1812
308	2253
308	2470
309	1763
309	2081
309	2309
310	268
310	441
310	450
311	155
311	1832
311	2844
312	1816
312	2353
312	2369
313	972
313	1301
313	2406
314	846
314	1297
314	2804
315	295
315	893
315	1411
316	435
316	1583
316	2566
317	1111
317	2258
317	2468
318	1118
318	2299
318	2826
319	287
319	458
319	1218
320	1289
320	1341
320	2416
321	415
321	597
321	617
322	586
322	1745
322	2415
323	226
323	2138
323	2866
324	1713
324	1979
324	2490
325	972
325	1624
325	2399
326	473
326	2616
326	2941
327	200
327	733
327	1533
328	1039
328	1138
328	2938
329	597
329	2163
329	2430
330	1066
330	1567
330	2682
331	597
331	1626
331	2237
332	412
332	1235
332	1596
333	53
333	1891
333	2864
334	1107
334	1905
334	2299
335	491
335	1626
335	1664
336	258
336	1207
336	1976
337	1713
337	2490
337	2834
338	1017
338	1254
338	1609
339	283
339	969
339	2834
340	800
340	1490
340	2747
341	181
341	2114
341	2538
342	354
342	1639
342	1871
343	1341
343	1603
343	2703
344	147
344	2149
344	2570
345	586
345	965
345	2815
346	1049
346	2538
346	2548
347	337
347	2643
347	2834
348	1855
348	2113
348	2268
349	386
349	1049
349	2931
350	879
350	1612
350	2718
351	167
351	752
351	902
352	109
352	1433
352	2237
353	515
353	1049
353	1951
354	342
354	1639
354	1871
355	468
355	903
355	1935
356	180
356	272
356	499
357	483
357	1218
357	1619
358	179
358	247
358	1138
359	413
359	597
359	1113
360	863
360	1676
360	2138
361	1338
361	2034
361	2931
362	292
362	1195
362	2230
363	813
363	1006
363	1951
364	723
364	991
364	1154
365	645
365	784
365	1339
366	469
366	1618
366	2357
367	198
367	2376
367	2457
368	456
368	1619
368	1951
369	90
369	597
369	2707
370	710
370	1111
370	2230
371	733
371	1515
371	1779
372	76
372	1637
372	2381
373	1788
373	2321
373	2480
374	1464
374	2168
374	2790
375	138
375	1513
375	2906
376	18
376	802
376	2187
377	1809
377	2167
377	2865
378	322
378	464
378	843
379	1396
379	2106
379	2763
380	597
380	1163
380	2283
381	116
381	1333
381	1655
382	519
382	771
382	1706
383	504
383	2358
383	2430
384	960
384	2009
384	2330
385	1491
385	2059
385	2671
386	349
386	1049
386	2931
387	1006
387	1049
387	2316
388	306
388	1450
388	1999
389	337
389	403
389	2679
390	480
390	1646
390	2760
391	181
391	2114
391	2538
392	1528
392	1619
392	1688
393	1795
393	2587
393	2651
394	159
394	2052
394	2276
395	597
395	1715
395	2550
396	397
396	1997
396	2013
397	396
397	559
397	2013
398	952
398	1212
398	1770
399	272
399	356
399	1002
400	525
400	1764
400	2835
401	63
401	76
401	300
402	597
402	1203
402	1571
403	337
403	2490
403	2834
404	1234
