index	fx	fy	esco_oc_key	preflabel_en	ox_max_prob	ox_avg_prob	ox_label	isco_oc_key_l4	isco_preflabel_l4	isco_oc_key_l3	isco_preflabel_l3	isco_oc_key_l2	isco_preflabel_l2	isco_oc_key_l1	isco_preflabel_l1	oc_key_jv	all_jv	at_jv	be_jv	bg_jv	ch_jv	cy_jv	cz_jv	de_jv	dk_jv	ee_jv	el_jv	es_jv	fi_jv	fr_jv	hr_jv	hu_jv	ie_jv	is_jv	it_jv	li_jv	lt_jv	lu_jv	lv_jv	mt_jv	nl_jv	no_jv	pl_jv	pt_jv	ro_jv	se_jv	si_jv	sk_jv	uk_jv	oc_key_cvdes	all_cvdes	at_cvdes	be_cvdes	bg_cvdes	ch_cvdes	cy_cvdes	cz_cvdes	de_cvdes	dk_cvdes	ee_cvdes	el_cvdes	es_cvdes	fi_cvdes	fr_cvdes	hr_cvdes	hu_cvdes	ie_cvdes	is_cvdes	it_cvdes	li_cvdes	lt_cvdes	lu_cvdes	lv_cvdes	mt_cvdes	nl_cvdes	no_cvdes	pl_cvdes	pt_cvdes	ro_cvdes	se_cvdes	si_cvdes	sk_cvdes	uk_cvdes	oc_key_cvlast	all_cvlast	at_cvlast	be_cvlast	bg_cvlast	ch_cvlast	cy_cvlast	cz_cvlast	de_cvlast	dk_cvlast	ee_cvlast	el_cvlast	es_cvlast	fi_cvlast	fr_cvlast	hr_cvlast	hu_cvlast	ie_cvlast	is_cvlast	it_cvlast	li_cvlast	lt_cvlast	lu_cvlast	lv_cvlast	mt_cvlast	nl_cvlast	no_cvlast	pl_cvlast	pt_cvlast	ro_cvlast	se_cvlast	si_cvlast	sk_cvlast	uk_cvlast
0	1.59693730239	2.94395723227	00030d09-2b3a-4efd-87cc-c4ea39d27c34	technical director	0.31	0.12		C2654	Film, stage and related directors and producers	C265	Creative and performing artists	C26	Legal, social and cultural professionals	C2	Professionals																																																																																																						
1	1.15016299419	2.67700690265	000e93a3-d956-4e45-aacb-f12c83fedf84	metal drawing machine operator	0.91	0.88		C8121	Metal processing plant operators	C812	Metal processing and finishing plant operators	C81	Stationary plant and machine operators	C8	Plant and machine operators and assemblers	000e93a3-d956-4e45-aacb-f12c83fedf84	12431.0	2354.0	118.0	7.0	82.0	3.0	1460.0	1594.0					172.0	2798.0		220.0	37.0					4.0	7.0		325.0	118.0	2138.0	30.0	249.0	371.0	189.0	148.0	7.0	000e93a3-d956-4e45-aacb-f12c83fedf84	134.0	1.0	3.0	3.0		1.0	2.0	4.0		2.0	3.0	15.0	4.0	1.0	12.0	3.0		1.0	28.0				3.0		2.0	1.0	14.0		17.0	3.0	6.0		5.0	000e93a3-d956-4e45-aacb-f12c83fedf84	85.0	2.0	1.0	1.0			1.0	3.0	1.0	2.0		13.0	5.0		3.0				15.0		2.0		2.0		1.0		10.0	3.0	15.0		3.0		2.0
2	1.42419014272	2.46666788796	0019b951-c699-4191-8208-9822882d150c	precision device inspector	0.98	0.98		C7543	Product graders and testers (excluding foods and beverages)	C754	Other craft and related workers	C75	Food processing, wood working, garment and other craft and related trades workers	C7	Craft and related trades workers																																																																																																						
3	1.69978835918	2.48374797484	0022f466-426c-41a4-ac96-a235c945cf97	air traffic safety technician	0.84	0.78		C3155	Air traffic safety electronics technicians	C315	Ship and aircraft controllers and technicians	C31	Science and engineering associate professionals	C3	Technicians and associate professionals	0022f466-426c-41a4-ac96-a235c945cf97	240.0		7.0	7.0			5.0	9.0	2.0	1.0									1.0		1.0		2.0	3.0		3.0	2.0	5.0	56.0	136.0				0022f466-426c-41a4-ac96-a235c945cf97	156.0		3.0	1.0		1.0		2.0				59.0	3.0	5.0	6.0	2.0			48.0		1.0			1.0	1.0		4.0	9.0	4.0				6.0	0022f466-426c-41a4-ac96-a235c945cf97	52.0			1.0				3.0				24.0		2.0	1.0				10.0						4.0			6.0	1.0				
4	1.81082740616	2.61194488073	002da35b-7808-43f3-83bf-63596b8b351f	hospitality revenue manager	0.61	0.32	1.0	C2431	Advertising and marketing professionals	C243	Sales, marketing and public relations professionals	C24	Business and administration professionals	C2	Professionals	002da35b-7808-43f3-83bf-63596b8b351f	203055.0	6160.0	491.0	19.0	240.0		946.0	20896.0	159.0	1.0	1.0	42.0	8696.0	13.0		242.0	63.0		10.0	2.0	1.0	8.0	134.0	88.0	5058.0	982.0	4884.0	428.0	530.0	5405.0	259.0	2.0	147295.0	002da35b-7808-43f3-83bf-63596b8b351f	5242.0	66.0	206.0	84.0	43.0	21.0	65.0	313.0	54.0	19.0	120.0	766.0	112.0	524.0	184.0	141.0	47.0	4.0	1425.0	1.0	41.0	23.0	25.0	7.0	132.0	38.0	114.0	166.0	148.0	91.0	65.0	18.0	179.0	002da35b-7808-43f3-83bf-63596b8b351f	2562.0	30.0	104.0	48.0	23.0	4.0	24.0	166.0	30.0	8.0	76.0	386.0	40.0	326.0	67.0	62.0	13.0	3.0	615.0		22.0	11.0	9.0	3.0	67.0	13.0	53.0	82.0	99.0	53.0	29.0	10.0	86.0
5	1.52295848817	2.73612162565	0044c991-c26f-4261-a213-4bd1c0564a4c	medical laboratory assistant	0.9	0.69		C3212	Medical and pathology laboratory technicians	C321	Medical and pharmaceutical technicians	C32	Health associate professionals	C3	Technicians and associate professionals	0044c991-c26f-4261-a213-4bd1c0564a4c	12610.0	237.0	255.0	3.0	109.0		214.0	4269.0	2.0				824.0	3477.0		15.0	1.0					17.0	19.0	4.0	27.0	1061.0	45.0	44.0	6.0	1890.0	91.0			0044c991-c26f-4261-a213-4bd1c0564a4c	807.0	4.0	20.0	7.0	5.0	3.0	5.0	22.0	1.0	2.0	37.0	263.0	6.0	15.0	25.0	4.0	6.0		224.0		4.0		1.0	1.0	11.0	2.0	21.0	67.0	5.0	10.0	11.0	2.0	23.0	0044c991-c26f-4261-a213-4bd1c0564a4c	289.0	2.0	7.0	7.0	4.0	4.0		7.0	1.0	3.0	18.0	78.0	3.0	6.0	20.0		1.0		75.0		3.0			1.0	4.0		10.0	16.0	5.0	1.0	5.0	1.0	7.0
6	1.40073486573	2.336157447	00634fc4-802a-461b-8af0-499273756f99	asphalt laboratory technician	0.24	0.24		C3116	Chemical engineering technicians	C311	Physical and engineering science technicians	C31	Science and engineering associate professionals	C3	Technicians and associate professionals																																																																																																						
7	1.89674055619	3.00270618548	00674f21-2f8f-4a41-9896-133f7cbe2a6e	primary school teaching assistant	0.56	0.56		C5312	Teachers’ aides	C531	Child care workers and teachers’ aides	C53	Personal care workers	C5	Service and sales workers	00674f21-2f8f-4a41-9896-133f7cbe2a6e	19794.0	18.0	72.0	224.0			904.0	575.0	3.0				1584.0	3457.0		56.0	1.0					1.0	226.0	91.0	66.0	1325.0	1502.0	24.0	130.0	9255.0	280.0			00674f21-2f8f-4a41-9896-133f7cbe2a6e	460.0	4.0	16.0	7.0	4.0	1.0	8.0	10.0		5.0	18.0	128.0	9.0	27.0	13.0	14.0	1.0		68.0		5.0		1.0		4.0	5.0	40.0	33.0	4.0	1.0	11.0	5.0	18.0	00674f21-2f8f-4a41-9896-133f7cbe2a6e	240.0		5.0	1.0	4.0	1.0	2.0	4.0	4.0	1.0	8.0	66.0	5.0	21.0	7.0	6.0	2.0		48.0			1.0	1.0	2.0	2.0	3.0	6.0	17.0	1.0	8.0	3.0	1.0	10.0
8	2.03448583499	2.38441908847	006cc1f9-2841-41c3-991a-dc3f2f3bd533	physiotherapist	0.021	0.02		C2264	Physiotherapists	C226	Other health professionals	C22	Health professionals	C2	Professionals	006cc1f9-2841-41c3-991a-dc3f2f3bd533	52307.0	1420.0	2323.0	59.0	327.0	30.0	251.0	32258.0				25.0	1295.0	4664.0		82.0	6.0		1.0	1.0		3.0	163.0	3.0	120.0	1322.0	1847.0	113.0	401.0	4817.0	547.0		229.0	006cc1f9-2841-41c3-991a-dc3f2f3bd533	490.0	5.0	5.0	15.0	3.0	1.0	4.0	16.0	4.0	2.0	22.0	73.0	6.0	2.0	105.0	4.0	1.0	1.0	105.0		4.0				4.0	2.0	36.0	23.0	29.0	1.0	2.0	3.0	12.0	006cc1f9-2841-41c3-991a-dc3f2f3bd533	464.0	3.0	3.0	11.0	2.0	1.0	5.0	15.0	1.0	1.0	23.0	81.0	4.0	1.0	103.0	6.0	1.0	1.0	95.0		4.0	1.0		1.0	5.0	2.0	30.0	24.0	24.0	2.0	3.0	4.0	7.0
9	1.78088951075	2.95397348388	00747307-6341-4266-a061-25416f7c6a96	performing arts theatre instructor				C2310	University and higher education teachers	C231	University and higher education teachers	C23	Teaching professionals	C2	Professionals																																																																																																						
